"","root","type","domain","rank_I","rank_II","rank_III","rank_IV","rank_V","rank_VI","rank_VII","rank_VIII","rank_IX","rank_X","rank_XI"
"ASV3347","root","Main genome","Eukaryota","Excavata","Discoba","Euglenida","Petalomonadales class incertae sedis","Petalomonadales","Petalomonadales X (family)","Petalomonadales X","Petalomonadales X_unclassified","Petalomonadales X_unclassified","Petalomonadales X_unclassified","Petalomonadales X_unclassified"
"ASV3350","root","Main genome","Eukaryota","Amorphea","Choanoflagellida","Choanoflagellida (phylum)","Choanoflagellida X","Choanoflagellida XX","Clade-2","Sphaeroeca","Sphaeroeca_unclassified","Sphaeroeca_unclassified","Sphaeroeca_unclassified","Sphaeroeca_unclassified"
"ASV3353","root","Main genome","Eukaryota","SAR","Alveolata","Apicomplexa","Gregarinomorphea","Eugregarinorida","Gregarinidae","Leidyana1","Leidyana1 sp.","Leidyana1 sp._unclassified","Leidyana1 sp._unclassified","Leidyana1 sp._unclassified"
"ASV3358","root","Main genome","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Ulvophyceae","Ulvophyceae_unclassified","Ulvophyceae_unclassified","Ulvophyceae_unclassified","Ulvophyceae_unclassified","Ulvophyceae_unclassified","Ulvophyceae_unclassified","Ulvophyceae_unclassified"
"ASV3360","root","Main genome","Eukaryota","Hacrobia","Centroheliozoa","Centroheliozoa X","Centroheliozoa X_unclassified","Centroheliozoa X_unclassified","Centroheliozoa X_unclassified","Centroheliozoa X_unclassified","Centroheliozoa X_unclassified","Centroheliozoa X_unclassified","Centroheliozoa X_unclassified","Centroheliozoa X_unclassified"
"ASV3364","root","Main genome","Eukaryota","SAR","Rhizaria","Cercozoa","Filosa-Thecofilosea","Filosa-Thecofilosea_unclassified","Filosa-Thecofilosea_unclassified","Filosa-Thecofilosea_unclassified","Filosa-Thecofilosea_unclassified","Filosa-Thecofilosea_unclassified","Filosa-Thecofilosea_unclassified","Filosa-Thecofilosea_unclassified"
"ASV3367","root","Main genome","Eukaryota","Hacrobia","Centroheliozoa","Centroheliozoa X","Centroheliozoa X_unclassified","Centroheliozoa X_unclassified","Centroheliozoa X_unclassified","Centroheliozoa X_unclassified","Centroheliozoa X_unclassified","Centroheliozoa X_unclassified","Centroheliozoa X_unclassified","Centroheliozoa X_unclassified"
"ASV3370","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Dictyochophyceae","Pedinellales","Pedinellales_unclassified","Pedinellales_unclassified","Pedinellales_unclassified","Pedinellales_unclassified","Pedinellales_unclassified","Pedinellales_unclassified"
"ASV3371","root","Main genome","Eukaryota","Amorphea","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Plectosphaerellaceae_unclassified","Plectosphaerellaceae_unclassified","Plectosphaerellaceae_unclassified","Plectosphaerellaceae_unclassified","Plectosphaerellaceae_unclassified"
"ASV3372","root","Main genome","Eukaryota","Amorphea","Metazoa","Nematoda","Chromadorea","Chromadorida","Chromadoridae","Chromadoridae_unclassified","Chromadoridae_unclassified","Chromadoridae_unclassified","Chromadoridae_unclassified","Chromadoridae_unclassified"
"ASV3377","root","Main genome","Eukaryota","SAR","Alveolata","Dinoflagellata","Syndiniales class incertae sedis","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-3","Dino-Group-II-Clade-3 X","Dino-Group-II-Clade-3 X sp.","Dino-Group-II-Clade-3 X sp._unclassified","Dino-Group-II-Clade-3 X sp._unclassified"
"ASV3379","root","Main genome","Eukaryota","SAR","Alveolata","Dinoflagellata","Dinophyceae","Dinophyceae X","Dinophyceae X_unclassified","Dinophyceae X_unclassified","Dinophyceae X_unclassified","Dinophyceae X_unclassified","Dinophyceae X_unclassified","Dinophyceae X_unclassified"
"ASV3381","root","Main genome","Eukaryota","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified"
"ASV3385","root","Main genome","Eukaryota","SAR","Rhizaria","Cercozoa","Endomyxa-Phytomyxea","Phagomyxida","Phagomyxidae","Phagomyxidae_unclassified","Phagomyxidae_unclassified","Phagomyxidae_unclassified","Phagomyxidae_unclassified","Phagomyxidae_unclassified"
"ASV3388","root","Main genome","Eukaryota","SAR","SAR_unclassified","SAR_unclassified","SAR_unclassified","SAR_unclassified","SAR_unclassified","SAR_unclassified","SAR_unclassified","SAR_unclassified","SAR_unclassified","SAR_unclassified"
"ASV3390","root","Main genome","Eukaryota","SAR","Rhizaria","Cercozoa","Filosa-Imbricatea","Euglyphida","Cyphoderiidae","Cyphoderia","Cyphoderia compressa","Cyphoderia compressa_unclassified","Cyphoderia compressa_unclassified","Cyphoderia compressa_unclassified"
"ASV3393","root","Main genome","Eukaryota","SAR","Rhizaria","Cercozoa","Filosa-Sarcomonadea","Filosa-Sarcomonadea_unclassified","Filosa-Sarcomonadea_unclassified","Filosa-Sarcomonadea_unclassified","Filosa-Sarcomonadea_unclassified","Filosa-Sarcomonadea_unclassified","Filosa-Sarcomonadea_unclassified","Filosa-Sarcomonadea_unclassified"
"ASV3398","root","Main genome","Eukaryota","SAR","Rhizaria","Cercozoa","Cercozoa_unclassified","Cercozoa_unclassified","Cercozoa_unclassified","Cercozoa_unclassified","Cercozoa_unclassified","Cercozoa_unclassified","Cercozoa_unclassified","Cercozoa_unclassified"
"ASV3399","root","Main genome","Eukaryota","SAR","Alveolata","Ciliophora","Spirotrichea","Tintinnida","Tintinnidiidae","Tintinnidium","Tintinnidium mucicola","Tintinnidium mucicola_unclassified","Tintinnidium mucicola_unclassified","Tintinnidium mucicola_unclassified"
"ASV3407","root","Main genome","Eukaryota","Amorphea","Metazoa","Nematoda","Chromadorea","Tylenchida","Aphelenchoides family incertae sedis","Aphelenchoides family incertae sedis_unclassified","Aphelenchoides family incertae sedis_unclassified","Aphelenchoides family incertae sedis_unclassified","Aphelenchoides family incertae sedis_unclassified","Aphelenchoides family incertae sedis_unclassified"
"ASV3411","root","Main genome","Eukaryota","SAR","Alveolata","Apicomplexa","Gregarinomorphea","Eugregarinorida","Eugregarinorida_unclassified","Eugregarinorida_unclassified","Eugregarinorida_unclassified","Eugregarinorida_unclassified","Eugregarinorida_unclassified","Eugregarinorida_unclassified"
"ASV3415","root","Main genome","Eukaryota","Amorphea","Metazoa","Arthropoda","Arachnida","Halacaroidea","Halacaridae","Rhombognathus","Rhombognathus areolatus","Rhombognathus areolatus_unclassified","Rhombognathus areolatus_unclassified","Rhombognathus areolatus_unclassified"
"ASV3416","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified"
"ASV3417","root","Main genome","Eukaryota","Archaeplastida","Rhodophyta","Rhodophyta (phylum)","Florideophyceae","Colaconematales","Colaconematales X","Colaconema","Colaconema_unclassified","Colaconema_unclassified","Colaconema_unclassified","Colaconema_unclassified"
"ASV3418","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Chrysophyceae","Chrysophyceae X","Chrysophyceae Clade-F","Chrysophyceae Clade-F X","Chrysophyceae Clade-F X sp.","Chrysophyceae Clade-F X sp._unclassified","Chrysophyceae Clade-F X sp._unclassified","Chrysophyceae Clade-F X sp._unclassified"
"ASV3419","root","Main genome","Eukaryota","SAR","Rhizaria","Cercozoa","Endomyxa","Endomyxa_unclassified","Endomyxa_unclassified","Endomyxa_unclassified","Endomyxa_unclassified","Endomyxa_unclassified","Endomyxa_unclassified","Endomyxa_unclassified"
"ASV3423","root","Main genome","Eukaryota","SAR","Alveolata","Ciliophora","Cariacotrichea","Cariacotrichea X","Cariacotrichea XX","Cariacotrichea XXX","Cariacotrichea XXX_unclassified","Cariacotrichea XXX_unclassified","Cariacotrichea XXX_unclassified","Cariacotrichea XXX_unclassified"
"ASV3424","root","Main genome","Eukaryota","Amorphea","Metazoa","Arthropoda","Maxillopoda","Harpacticoida","Canthocamptidae","Bryocamptus","Bryocamptus_unclassified","Bryocamptus_unclassified","Bryocamptus_unclassified","Bryocamptus_unclassified"
"ASV3425","root","Main genome","Eukaryota","SAR","Alveolata","Ciliophora","Heterotrichea","Folliculinidae","Folliculinidae X","Folliculinidae X sp.","Folliculinidae X sp._unclassified","Folliculinidae X sp._unclassified","Folliculinidae X sp._unclassified","Folliculinidae X sp._unclassified"
"ASV3426","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Chrysophyceae","Chrysophyceae X","Chrysophyceae Clade-G","Chrysophyceae Clade-G X","Chrysophyceae Clade-G X sp.","Chrysophyceae Clade-G X sp._unclassified","Chrysophyceae Clade-G X sp._unclassified","Chrysophyceae Clade-G X sp._unclassified"
"ASV3429","root","Main genome","Eukaryota","Amorphea","Metazoa","Porifera","Demospongiae","Haplosclerida","Chalinidae","Chalinidae_unclassified","Chalinidae_unclassified","Chalinidae_unclassified","Chalinidae_unclassified","Chalinidae_unclassified"
"ASV3430","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified"
"ASV3432","root","Main genome","Eukaryota","SAR","Alveolata","Ciliophora","Oligohymenophorea","Peritrichia 2","Sessilida","Zoothamnium 1","Zoothamnium arcuatum","Zoothamnium arcuatum_unclassified","Zoothamnium arcuatum_unclassified","Zoothamnium arcuatum_unclassified"
"ASV3437","root","Main genome","Eukaryota","Amorphea","Metazoa","Nematoda","Chromadorea","Desmodorida","Desmodorida_unclassified","Desmodorida_unclassified","Desmodorida_unclassified","Desmodorida_unclassified","Desmodorida_unclassified","Desmodorida_unclassified"
"ASV3440","root","Main genome","Eukaryota","SAR","Alveolata","Ciliophora","CONThreeP","CONThreeP X","CONThreeP X_unclassified","CONThreeP X_unclassified","CONThreeP X_unclassified","CONThreeP X_unclassified","CONThreeP X_unclassified","CONThreeP X_unclassified"
"ASV3441","root","Main genome","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Nephroselmidophyceae","Nephroselmidales","Nephroselmidales X","Nephroselmis","Nephroselmis pyriformis","Nephroselmis pyriformis_unclassified","Nephroselmis pyriformis_unclassified","Nephroselmis pyriformis_unclassified"
"ASV3443","root","Main genome","Eukaryota","Amorphea","Fungi","Cryptomycota","Cryptomycota_unclassified","Cryptomycota_unclassified","Cryptomycota_unclassified","Cryptomycota_unclassified","Cryptomycota_unclassified","Cryptomycota_unclassified","Cryptomycota_unclassified","Cryptomycota_unclassified"
"ASV3445","root","Main genome","Eukaryota","Amorphea","Fungi","Neocallimastigomycota","Neocallimastigomycetes","Neocallimastigales","Neocallimastigaceae","Neocallimastigaceae_unclassified","Neocallimastigaceae_unclassified","Neocallimastigaceae_unclassified","Neocallimastigaceae_unclassified","Neocallimastigaceae_unclassified"
"ASV3450","root","Main genome","Eukaryota","SAR","Stramenopiles","Opalozoa","Bicoecea","Bicoecea X","Bicoecea X_unclassified","Bicoecea X_unclassified","Bicoecea X_unclassified","Bicoecea X_unclassified","Bicoecea X_unclassified","Bicoecea X_unclassified"
"ASV3451","root","Main genome","Eukaryota","SAR","Rhizaria","Cercozoa","Filosa-Thecofilosea","Cryomonadida","Protaspa-lineage","Protaspa-lineage_unclassified","Protaspa-lineage_unclassified","Protaspa-lineage_unclassified","Protaspa-lineage_unclassified","Protaspa-lineage_unclassified"
"ASV3452","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Araphid-pennate","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified"
"ASV3458","root","Main genome","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Ulvophyceae","Ulvales-relatives","Ulvales-relatives X","Ulvales-relatives X_unclassified","Ulvales-relatives X_unclassified","Ulvales-relatives X_unclassified","Ulvales-relatives X_unclassified","Ulvales-relatives X_unclassified"
"ASV3459","root","Main genome","Eukaryota","SAR","Stramenopiles","Sagenista","Labyrinthulomycetes","Thraustochytriales order incertae sedis","Thraustochytriales","Thraustochytriaceae","Thraustochytriaceae X","Thraustochytriaceae X_unclassified","Thraustochytriaceae X_unclassified","Thraustochytriaceae X_unclassified"
"ASV3460","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified"
"ASV3461","root","Main genome","Eukaryota","Amorphea","Metazoa","Metazoa_unclassified","Metazoa_unclassified","Metazoa_unclassified","Metazoa_unclassified","Metazoa_unclassified","Metazoa_unclassified","Metazoa_unclassified","Metazoa_unclassified","Metazoa_unclassified"
"ASV3465","root","Main genome","Eukaryota","Excavata","Discoba","Kinetoplastida phylum incertae sedis","Kinetoplastida class incertae sedis","Kinetoplastida","Kinetoplastida X (family)","Kinetoplastida X (family)_unclassified","Kinetoplastida X (family)_unclassified","Kinetoplastida X (family)_unclassified","Kinetoplastida X (family)_unclassified","Kinetoplastida X (family)_unclassified"
"ASV3472","root","Main genome","Eukaryota","SAR","Alveolata","Ciliophora","Litostomatea","Pleurostomatida","Pleurostomatida_unclassified","Pleurostomatida_unclassified","Pleurostomatida_unclassified","Pleurostomatida_unclassified","Pleurostomatida_unclassified","Pleurostomatida_unclassified"
"ASV3475","root","Main genome","Eukaryota","SAR","Alveolata","Dinoflagellata","Dinophyceae","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified"
"ASV3477","root","Main genome","Eukaryota","Amorphea","Fungi","Chytridiomycota","Chytridiomycetes","Lobulomycetales","Lobulomycetaceae","Lobulomycetaceae_unclassified","Lobulomycetaceae_unclassified","Lobulomycetaceae_unclassified","Lobulomycetaceae_unclassified","Lobulomycetaceae_unclassified"
"ASV3480","root","Main genome","Eukaryota","SAR","Alveolata","Ciliophora","Spirotrichea","Euplotia","Euplotidae","Euplotidae_unclassified","Euplotidae_unclassified","Euplotidae_unclassified","Euplotidae_unclassified","Euplotidae_unclassified"
"ASV3481","root","Main genome","Eukaryota","SAR","Alveolata","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified"
"ASV3484","root","Main genome","Eukaryota","Archaeplastida","Chloroplastida","Chloroplastida_unclassified","Chloroplastida_unclassified","Chloroplastida_unclassified","Chloroplastida_unclassified","Chloroplastida_unclassified","Chloroplastida_unclassified","Chloroplastida_unclassified","Chloroplastida_unclassified","Chloroplastida_unclassified"
"ASV3487","root","Main genome","Eukaryota","SAR","Alveolata","Dinoflagellata","Dinophyceae","Gonyaulacales","Gonyaulacales_unclassified","Gonyaulacales_unclassified","Gonyaulacales_unclassified","Gonyaulacales_unclassified","Gonyaulacales_unclassified","Gonyaulacales_unclassified"
"ASV3491","root","Main genome","Eukaryota","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified"
"ASV3492","root","Main genome","Eukaryota","SAR","Rhizaria","Cercozoa","Endomyxa","Vampyrellida","Vampyrellida_unclassified","Vampyrellida_unclassified","Vampyrellida_unclassified","Vampyrellida_unclassified","Vampyrellida_unclassified","Vampyrellida_unclassified"
"ASV3496","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified"
"ASV3503","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified"
"ASV3509","root","Main genome","Eukaryota","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified"
"ASV3511","root","Main genome","Eukaryota","SAR","Alveolata","Ciliophora","Litostomatea","Haptoria 6","Lacrymariidae","Lacrymaria (Lacrymariidae)","Lacrymaria sp.","Lacrymaria sp._unclassified","Lacrymaria sp._unclassified","Lacrymaria sp._unclassified"
"ASV3512","root","Main genome","Eukaryota","SAR","Rhizaria","Cercozoa","Filosa-Thecofilosea","Ventricleftida","Ventricleftida X","Ventricleftida XX","Ventricleftida XX_unclassified","Ventricleftida XX_unclassified","Ventricleftida XX_unclassified","Ventricleftida XX_unclassified"
"ASV3514","root","Main genome","Eukaryota","Amorphea","Fungi","Chytridiomycota","Chytridiomycetes","Rhizophydiales","Rhizophydiales_unclassified","Rhizophydiales_unclassified","Rhizophydiales_unclassified","Rhizophydiales_unclassified","Rhizophydiales_unclassified","Rhizophydiales_unclassified"
"ASV3516","root","Main genome","Eukaryota","SAR","Alveolata","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified"
"ASV3524","root","Main genome","Eukaryota","SAR","Stramenopiles","Pseudofungi","Oomycota","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified"
"ASV3529","root","Main genome","Eukaryota","SAR","Alveolata","Apicomplexa","Gregarinomorphea","Eugregarinorida","Eugregarinorida_unclassified","Eugregarinorida_unclassified","Eugregarinorida_unclassified","Eugregarinorida_unclassified","Eugregarinorida_unclassified","Eugregarinorida_unclassified"
"ASV3530","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified"
"ASV3532","root","Main genome","Eukaryota","SAR","Stramenopiles","Pseudofungi","Oomycota","Haliphthorales","Haliphthorales X","Haliphthorales X_unclassified","Haliphthorales X_unclassified","Haliphthorales X_unclassified","Haliphthorales X_unclassified","Haliphthorales X_unclassified"
"ASV3536","root","Main genome","Eukaryota","Excavata","Discoba","Diplonemea","Diplonemea_unclassified","Diplonemea_unclassified","Diplonemea_unclassified","Diplonemea_unclassified","Diplonemea_unclassified","Diplonemea_unclassified","Diplonemea_unclassified","Diplonemea_unclassified"
"ASV3538","root","Main genome","Eukaryota","Amorphea","Amoebozoa","Breviatea phylum incertae sedis","Breviatea","Breviatea X","Breviatea XX","Breviatea XXX","Breviatea XXXX","Breviatea XXXX_unclassified","Breviatea XXXX_unclassified","Breviatea XXXX_unclassified"
"ASV3540","root","Main genome","Eukaryota","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified"
"ASV3541","root","Main genome","Eukaryota","SAR","Alveolata","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified"
"ASV3542","root","Main genome","Eukaryota","Amorphea","Metazoa","Nematoda","Chromadorea","Araeolaimida","Axonolaimidae","Odontophora","Odontophora_unclassified","Odontophora_unclassified","Odontophora_unclassified","Odontophora_unclassified"
"ASV3547","root","Main genome","Eukaryota","SAR","Rhizaria","Cercozoa","Endomyxa","Vampyrellida","Vampyrellida_unclassified","Vampyrellida_unclassified","Vampyrellida_unclassified","Vampyrellida_unclassified","Vampyrellida_unclassified","Vampyrellida_unclassified"
"ASV3548","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Araphid-pennate","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified"
"ASV3549","root","Main genome","Eukaryota","SAR","Alveolata","Ciliophora","Spirotrichea","Epiclintidae","Epiclintes","Epiclintes auricularis genus incertae sedis","Epiclintes auricularis","Epiclintes auricularis_unclassified","Epiclintes auricularis_unclassified","Epiclintes auricularis_unclassified"
"ASV3552","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","MOCH-5","MOCH-5 X","MOCH-5 X_unclassified","MOCH-5 X_unclassified","MOCH-5 X_unclassified","MOCH-5 X_unclassified","MOCH-5 X_unclassified","MOCH-5 X_unclassified"
"ASV3553","root","Main genome","Eukaryota","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified"
"ASV3554","root","Main genome","Eukaryota","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified"
"ASV3555","root","Main genome","Eukaryota","SAR","Alveolata","Ciliophora","Oligohymenophorea","Frontoniidae 1","Frontoniidae 1_unclassified","Frontoniidae 1_unclassified","Frontoniidae 1_unclassified","Frontoniidae 1_unclassified","Frontoniidae 1_unclassified","Frontoniidae 1_unclassified"
"ASV3557","root","Main genome","Eukaryota","SAR","Alveolata","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified"
"ASV3558","root","Main genome","Eukaryota","Amorphea","Fungi","Zoopagomycota","Entomophthoromycetes","Entomophthorales","Entomophthorales_unclassified","Entomophthorales_unclassified","Entomophthorales_unclassified","Entomophthorales_unclassified","Entomophthorales_unclassified","Entomophthorales_unclassified"
"ASV3560","root","Main genome","Eukaryota","SAR","Rhizaria","Cercozoa","Cercozoa_unclassified","Cercozoa_unclassified","Cercozoa_unclassified","Cercozoa_unclassified","Cercozoa_unclassified","Cercozoa_unclassified","Cercozoa_unclassified","Cercozoa_unclassified"
"ASV3563","root","Main genome","Eukaryota","Amorphea","Amoebozoa","Lobosa","Lobosa X","Himatismenida","Parvamoebidae","Parvamoebidae_unclassified","Parvamoebidae_unclassified","Parvamoebidae_unclassified","Parvamoebidae_unclassified","Parvamoebidae_unclassified"
"ASV3565","root","Main genome","Eukaryota","Hacrobia","Haptophyta kingdom incertae sedis","Haptophyta","Pavlovophyceae","Pavlovales","Pavlovaceae","Diacronema","Diacronema ennorea","Diacronema ennorea_unclassified","Diacronema ennorea_unclassified","Diacronema ennorea_unclassified"
"ASV3566","root","Main genome","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Ulvophyceae","Ulvales-relatives","Ulvales-relatives X","Ulvales-relatives X_unclassified","Ulvales-relatives X_unclassified","Ulvales-relatives X_unclassified","Ulvales-relatives X_unclassified","Ulvales-relatives X_unclassified"
"ASV3568","root","Main genome","Eukaryota","Amorphea","Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia","Malassezia_unclassified","Malassezia_unclassified","Malassezia_unclassified","Malassezia_unclassified"
"ASV3569","root","Main genome","Eukaryota","SAR","Alveolata","Ciliophora","Litostomatea","Litostomatea_unclassified","Litostomatea_unclassified","Litostomatea_unclassified","Litostomatea_unclassified","Litostomatea_unclassified","Litostomatea_unclassified","Litostomatea_unclassified"
"ASV3571","root","Main genome","Eukaryota","Amorphea","Fungi","Chytridiomycota","Chytridiomycetes","Rhizophydiales","Rhizophydiales_unclassified","Rhizophydiales_unclassified","Rhizophydiales_unclassified","Rhizophydiales_unclassified","Rhizophydiales_unclassified","Rhizophydiales_unclassified"
"ASV3572","root","Main genome","Eukaryota","Amorphea","Fungi","Chytridiomycota","Chytridiomycetes","Cladochytriales","Cladochytriales_unclassified","Cladochytriales_unclassified","Cladochytriales_unclassified","Cladochytriales_unclassified","Cladochytriales_unclassified","Cladochytriales_unclassified"
"ASV3573","root","Main genome","Eukaryota","Amorphea","Fungi","Fungi_unclassified","Fungi_unclassified","Fungi_unclassified","Fungi_unclassified","Fungi_unclassified","Fungi_unclassified","Fungi_unclassified","Fungi_unclassified","Fungi_unclassified"
"ASV3577","root","Main genome","Eukaryota","Amorphea","Choanoflagellida","Choanoflagellida (phylum)","Choanoflagellatea","Craspedida","Monosigidae Group N","Salpingoeca N","Salpingoeca N_unclassified","Salpingoeca N_unclassified","Salpingoeca N_unclassified","Salpingoeca N_unclassified"
"ASV3578","root","Main genome","Eukaryota","Amorphea","Metazoa","Gastrotricha","Chaetonotida class incertae sedis","Chaetonotida","Chaetonotidae","Chaetonotidae_unclassified","Chaetonotidae_unclassified","Chaetonotidae_unclassified","Chaetonotidae_unclassified","Chaetonotidae_unclassified"
"ASV3581","root","Main genome","Eukaryota","Amorphea","Fungi","Ascomycota","Ascomycota_unclassified","Ascomycota_unclassified","Ascomycota_unclassified","Ascomycota_unclassified","Ascomycota_unclassified","Ascomycota_unclassified","Ascomycota_unclassified","Ascomycota_unclassified"
"ASV3588","root","Main genome","Eukaryota","SAR","Alveolata","Ciliophora","Litostomatea","Pleurostomatida","Pleurostomatida X","Pleurostomatida X_unclassified","Pleurostomatida X_unclassified","Pleurostomatida X_unclassified","Pleurostomatida X_unclassified","Pleurostomatida X_unclassified"
"ASV3589","root","Main genome","Eukaryota","Amorphea","Amoebozoa","Lobosa","Lobosa X","Lobosa X_unclassified","Lobosa X_unclassified","Lobosa X_unclassified","Lobosa X_unclassified","Lobosa X_unclassified","Lobosa X_unclassified","Lobosa X_unclassified"
"ASV3592","root","Main genome","Eukaryota","SAR","Rhizaria","Cercozoa","Cercozoa_unclassified","Cercozoa_unclassified","Cercozoa_unclassified","Cercozoa_unclassified","Cercozoa_unclassified","Cercozoa_unclassified","Cercozoa_unclassified","Cercozoa_unclassified"
"ASV3593","root","Main genome","Eukaryota","Amorphea","Fungi","Cryptomycota","Incertae Sedis (Cryptomycota)","Incertae Sedis (Incertae Sedis (Cryptomycota))","Incertae Sedis (Incertae Sedis (Cryptomycota))_unclassified","Incertae Sedis (Incertae Sedis (Cryptomycota))_unclassified","Incertae Sedis (Incertae Sedis (Cryptomycota))_unclassified","Incertae Sedis (Incertae Sedis (Cryptomycota))_unclassified","Incertae Sedis (Incertae Sedis (Cryptomycota))_unclassified","Incertae Sedis (Incertae Sedis (Cryptomycota))_unclassified"
